,Dataset,Fold,Method,Metric,Patient,Performance
382,V-23_24,3,MMSBM,Precision,20,0.9999999980000001
383,V-23_24,3,MMSBM,Accuracy,20,0.7391304347826086
384,V-23_24,2,MMSBM,Recall,20,0.3
385,V-23_24,2,MMSBM,Precision,20,0.5999999988
386,V-23_24,2,MMSBM,Accuracy,20,0.625
387,V-23_24,4,MMSBM,Recall,20,0.9
388,V-23_24,4,MMSBM,Precision,20,0.8181818174380164
389,V-23_24,4,MMSBM,Accuracy,20,0.8695652173913044
390,V-23_24,1,MMSBM,Recall,21,0.875
391,V-23_24,1,MMSBM,Precision,21,0.8749999989062499
392,V-23_24,1,MMSBM,Accuracy,21,0.9166666666666667
393,V-23_24,0,MMSBM,Recall,21,0.6
394,V-23_24,0,MMSBM,Precision,21,0.8571428559183674
395,V-23_24,0,MMSBM,Accuracy,21,0.7916666666666666
396,V-23_24,3,MMSBM,Recall,21,0.6
397,V-23_24,3,MMSBM,Precision,21,0.8571428559183674
398,V-23_24,3,MMSBM,Accuracy,21,0.7826086956521738
399,V-23_24,2,MMSBM,Recall,21,0.9285714285714286
400,V-23_24,2,MMSBM,Precision,21,0.9285714279081632
401,V-23_24,2,MMSBM,Accuracy,21,0.9166666666666666
402,V-23_24,4,MMSBM,Recall,21,0.6666666666666666
403,V-23_24,4,MMSBM,Precision,21,0.7272727266115702
404,V-23_24,4,MMSBM,Accuracy,21,0.6956521739130435
405,V-23_24,1,MMSBM,Recall,22,0.625
406,V-23_24,1,MMSBM,Precision,22,0.49999999949999996
407,V-23_24,1,MMSBM,Accuracy,22,0.6666666666666666
408,V-23_24,0,MMSBM,Recall,22,0.5
409,V-23_24,0,MMSBM,Precision,22,0.49999999916666665
410,V-23_24,0,MMSBM,Accuracy,22,0.75
411,V-23_24,3,MMSBM,Recall,22,0.25
412,V-23_24,3,MMSBM,Precision,22,0.6666666644444444
413,V-23_24,3,MMSBM,Accuracy,22,0.6956521739130435
414,V-23_24,2,MMSBM,Recall,22,0.25
415,V-23_24,2,MMSBM,Precision,22,0.6666666644444444
416,V-23_24,2,MMSBM,Accuracy,22,0.7083333333333334
417,V-23_24,4,MMSBM,Recall,22,0.75
